产品线,总计,支付方式,毛利率百分比
健康美容,548.9715,电子钱包,4.761904762
电子配件,80.22,现金,4.761904762
电子配件,433.692,电子钱包,4.761904762
家居生活,772.38,电子钱包,4.761904762
健康美容,76.146,信用卡,4.761904762
食品饮料,172.746,信用卡,4.761904762
时尚配饰,60.816,电子钱包,4.761904762
电子配件,246.4875,电子钱包,4.761904762
健康美容,749.49,现金,4.761904762
运动旅行,590.436,现金,4.761904762
健康美容,506.6355,信用卡,4.761904762
家居生活,84.63,电子钱包,4.761904762
家居生活,441.756,信用卡,4.761904762
时尚配饰,184.107,信用卡,4.761904762
食品饮料,463.89,现金,4.761904762
食品饮料,417.564,电子钱包,4.761904762
运动旅行,71.526,电子钱包,4.761904762
电子配件,575.316,电子钱包,4.761904762
健康美容,461.328,电子钱包,4.761904762
家居生活,91.056,电子钱包,4.761904762
运动旅行,435.456,现金,4.761904762
食品饮料,829.08,现金,4.761904762
电子配件,394.632,现金,4.761904762
食品饮料,189.0945,电子钱包,4.761904762
时尚配饰,867.615,电子钱包,4.761904762
食品饮料,234.0975,现金,4.761904762
时尚配饰,75.054,电子钱包,4.761904762
电子配件,722.232,现金,4.761904762
家居生活,759.675,现金,4.761904762
运动旅行,77.931,信用卡,4.761904762
运动旅行,520.4115,电子钱包,4.761904762
健康美容,70.287,电子钱包,4.761904762
时尚配饰,614.943,电子钱包,4.761904762
健康美容,19.2465,现金,4.761904762
食品饮料,152.838,电子钱包,4.761904762
电子配件,478.233,现金,4.761904762
电子配件,437.325,信用卡,4.761904762
时尚配饰,189.0945,信用卡,4.761904762
食品饮料,822.255,电子钱包,4.761904762
健康美容,106.995,现金,4.761904762
健康美容,624.897,信用卡,4.761904762
食品饮料,304.542,电子钱包,4.761904762
食品饮料,337.512,信用卡,4.761904762
运动旅行,610.491,电子钱包,4.761904762
健康美容,485.037,现金,4.761904762
家居生活,198.996,现金,4.761904762
运动旅行,471.03,电子钱包,4.761904762
运动旅行,161.553,电子钱包,4.761904762
电子配件,78.435,现金,4.761904762
电子配件,218.0115,现金,4.761904762
食品饮料,321.111,现金,4.761904762
运动旅行,34.629,电子钱包,4.761904762
健康美容,309.3615,信用卡,4.761904762
时尚配饰,535.374,现金,4.761904762
家居生活,763.4655,信用卡,4.761904762
时尚配饰,85.113,信用卡,4.761904762
食品饮料,115.08,电子钱包,4.761904762
电子配件,836.304,信用卡,4.761904762
时尚配饰,474.348,电子钱包,4.761904762
家居生活,688.6215,信用卡,4.761904762
运动旅行,169.3125,现金,4.761904762
时尚配饰,299.8485,信用卡,4.761904762
食品饮料,575.736,电子钱包,4.761904762
运动旅行,853.146,电子钱包,4.761904762
时尚配饰,291.207,现金,4.761904762
运动旅行,580.419,现金,4.761904762
运动旅行,146.328,现金,4.761904762
健康美容,512.19,电子钱包,4.761904762
电子配件,138.1275,信用卡,4.761904762
家居生活,216.846,现金,4.761904762
